AcresBurned,lat,long
25,38.64107,-120.6955
25,35.8378273,-121.0381507
24,40.61388,-122.46777
23,40.4572,-124.05804
23,41.71847,-122.36924
21,40.9878,-123.77832
20,34.25858,-117.4415
20,39.1408865,-122.9148951
15,33.11645,-116.58542
10,36.217,-118.551
0,38.57554,-120.00606
0,35.01382,-119.58206
0,35.84883,-118.08591
0,34.6888731,-118.7892593
281893,34.41521,-119.09124
281893,34.41521,-119.09124
83733,40.07045,-120.14013
81826,37.61757,-120.21321
78698,41.841,-123.474
56556,38.4041,-122.5209
56556,38.4041,-122.5209
51624,38.39206,-122.24367
51624,38.39206,-122.24367
48889,35.93273,-120.20014
39715,42.039,-123.218
36807,38.60895,-122.62879
36807,38.60895,-122.62879
36556,36.15356,-118.74103
36523,39.24873,-123.16635
28687,35.0179,-120.3223
27276,41.59,-123.501
21846,40.76025,-123.10003
18900,36.27138,-118.48555
18618,40.69573,-119.93499
18430,34.55096,-119.9494
17357,38.76549,-122.90939
15619,34.31283,-118.35863
13417,40.2275,-123.03583
12407,37.44663,-119.64622
10343,36.12089,-120.37116
9989,39.32198,-121.4021
9217,33.87041,-117.70975
8925,38.655,-119.55425
8417,39.62496,-121.52966
8094,37.644,-119.618
7697,41.466,-120.321
7194,34.22957,-118.2674
7000,37.538,-119.598
6309,33.530045,-116.594422
6151,39.39455,-121.40613
6049,34.45283,-118.58188
6042,40.43962,-120.22215
6033,39.45352,-121.41222
5738,36.07228,-120.26561
5247,38.329,-119.782
4736,40.17598,-123.36882
4310,39.9034,-120.9761
4100,33.3237,-117.163
4016,39.57701,-121.30209
3874,33.97471,-117.09984
3142,41.853,-123.676
2940,35.77896,-118.89627
2662,33.8668,-117.68598
2575,39.75312,-120.75485
2312,36.05187,-120.05404
2295,36.257,-118.296
2289,36.0226,-118.94252
2269,38.49521,-122.0251
2207,39.01387,-122.64543
2056,32.65597,-116.80527
1816,35.86949,-120.57894
1816,35.86949,-120.57894
1800,36.96655,-120.89261
1749,38.12,-119.941
1660,38.14242,-122.47301
1649,35.95911,-120.55579
1626,35.59904,-119.08312
1598,35.4025,-120.4992
1538,36.269125,-120.620791
1522,35.53456,-118.66733
1503,34.2976,-116.826
1431,37.0825,-119.8011
1350,35.543,-118.654
1350,34.00566,-117.30693
1319,35.76,-118.406
1286,38.5181,-121.104
1200,35.38298,-118.80123
1088,33.402411,-117.402445
1083,34.94373,-119.44751
1044,33.98212,-117.30819
1035,37.21616,-119.48067
1020,39.75371,-120.1397
1000,33.34988,-117.39818
995,40.98352,-121.81623
976,36.530836,-120.206592
900,39.30125,-123.28825
867,39.1234,-121.32957
866,33.60247,-117.34192
859,39.888,-120.066
821,39.24549,-121.12792
800,34.55607,-118.60703
775,35.7908,-120.77485
760,34.37443,-118.49343
747,39.439722,-120.027222
690,37.905545,-120.408135
680,37.37397,-119.83556
670,34.14575,-117.17813
630,37.3762,-119.9646
562,41.85763,-121.29581
545,33.95036,-116.88066
530,41.11989,-120.74968
506,35.4605,-118.85896
486,33.3906,-117.32348
469,41.3975,-122.8428
460,35.40357,-120.28037
460,34.09773,-117.10567
450,36.616986,-120.369347
444,34.67403,-120.4393
429,37.14624,-120.015509
426,38.848,-120.287
422,34.09454,-118.48178
416,36.22265,-119.06598
410,41.72163,-121.30451
400,32.84796,-116.85396
400,36.45491,-120.2445
392,39.34292,-121.12004
391,37.18356,-122.07012
380,41.16716,-120.58342
370,38.46111,-119.48284
370,38.02929,-122.25544
357,36.27306,-120.65185
340,35.42433,-120.47322
339,36.45809,-118.87676
338,34.92907,-118.9267
325,34.08492,-117.03826
319,41.478,-123.506
300,33.59257,-117.14979
288,35.41283,-118.84466
260,34.16564,-117.33334
255,33.34659,-116.66107
245,35.12269,-120.39387
237,36.24653,-120.31598
236,38.538332,-121.039267
231,37.87808,-121.78677
225,37.4591,-119.921
225,35.34541,-120.76464
225,35.21177,-119.87525
206,35.59804,-118.47939
205,33.85323,-117.48195
200,39.44543,-122.85194
200,37.72543,-121.90516
200,32.65003,-116.42907
200,33.689092,-117.396404
194,40.02261,-121.91425
190,34.9465,-119.8036
186,39.9864,-120.89746
186,36.704679,-120.405077
184,35.3091,-118.701
183,35.19008,-118.76152
180,40.47106,-122.43608
170,34.41204,-117.03031
168,33.87679,-117.00258
168,39.71101,-120.02325
166,39.37192,-121.53865
157,40.80968,-120.48641
157,37.12759,-120.0193
155,37.63358,-121.49925
155,41.9808,-121.9741
153,33.98639,-117.21314
150,39.74679,-121.67261
150,35.7751,-120.23656
150,35.6871,-120.3187
150,36.90967,-119.79315
150,34.30104,-117.45646
148,40.46836,-123.51619
146,39.02482,-123.1362
143,40.07613,-121.56858
140,38.559707,-120.70013
136,38.5758,-120.915
135,34.792882,-118.851943
135,35.8556,-118.74542
134,39.69717,-121.75417
130,38.40234,-120.52953
130,32.6001,-116.76997
130,35.78286,-120.22647
128,40.69554,-122.0122
126,36.5355,-120.6585
125,37.62823,-120.30046
124,37.90014,-120.36005
122,34.009026,-117.239099
120,35.31886,-120.50886
120,33.88287,-116.99651
117,38.29113,-120.62177
116,37.7393,-121.85663
114,38.49336,-122.2483
111,36.93332,-119.43376
111,39.38416,-121.5786
105,35.3024,-120.65279
105,33.950382,-116.884446
103,39.76243,-121.74121
102,36.36113,-120.32685
101,37.39801,-121.8179
100,32.64962,-116.37345
100,38.46123,-122.58152
100,39.0199,-122.57487
100,38.43658,-121.97233
100,36.99092,-121.59899
100,36.09486,-120.52189
100,37.14653,-121.68165
100,34.19076,-117.26969
99,34.035344,-116.940661
92,33.57139,-116.8247
91,36.95104,-119.65621
91,39.52499,-121.64897
90,37.09773,-120.02027
87,39.15016,-122.576
86,34.34949,-119.30918
85,40.11794,-123.76099
85,34.20152,-117.14466
85,37.3344,-121.71752
82,35.86596,-120.64584
81,33.38613,-117.46709
80,38.869036,-119.61865
79,40.13278,-120.9204
79,35.89423,-119.00334
78,36.96607,-121.55552
78,40.38944,-122.13088
76,39.19325,-121.08406
76,36.8005,-119.35901
74,35.5956,-120.56068
74,38.7803,-120.97111
74,34.07612,-117.06765
73,35.78616,-120.96514
72,33.75526,-117.25075
70,35.4403,-120.2913
70,39.01224,-122.20127
70,37.25014,-121.68562
70,36.60736,-120.5828
69,36.7279,-119.28241
68,38.33707,-121.11113
67,40.03392,-120.1064
65,37.82934,-120.68992
63,33.81976,-117.18552
63,37.36914,-120.0088
62,33.20988,-116.46989
62,38.94599,-122.81135
62,37.64898,-120.4925
60,40.32063,-122.83208
59,36.18815,-118.78928
59,38.18303,-120.85322
58,36.7528,-119.2288
58,39.42604,-123.03344
58,36.64404,-118.99944
58,35.346,-120.62825
57,40.1583,-122.3209
57,36.81476,-119.51592
56,41.93006,-122.36545
55,38.4446,-122.0041
55,41.99483,-121.90077
55,34.03941,-118.58624
54,41.222,-122.292
54,41.222,-122.27499
54,37.33454,-121.76323
51,37.44485,-121.84108
50,35.21556,-118.56578
50,33.8826,-117.00589
50,34.22551,-118.05545
50,37.41591,-122.3001
50,35.70639,-118.47307
50,34.72379,-120.13249
50,39.06308,-121.303
50,34.20599,-118.98603
50,33.87739,-117.16215
50,33.23281,-117.29509
48,36.94652,-120.90462
48,33.58577,-116.07429
47,36.38109,-121.00391
47,35.06472,-120.5634
46,33.6444,-117.3968
46,34.149,-117.189
46,41.8721,-122.4571
45,33.9885,-117.38417
45,35.28738,-120.44448
45,40.48712,-121.85645
44,37.56181,-121.56425
43,39.81517,-122.28165
43,36.17297,-120.87609
42,35.96275,-121.08753
42,40.10282,-122.27379
42,41.38247,-120.53443
41,41.99279,-122.9401
41,34.10446,-118.70294
41,35.05076,-118.90004
40,33.96514,-117.4764
40,33.90327,-116.50151
40,34.13534,-117.4982
40,40.70627,-122.24199
40,35.59302,-118.46734
40,41.98128,-124.01168
40,41.02705,-123.63721
40,40.29831,-122.70449
40,38.86056,-122.62382
40,36.66684,-121.74826
39,37.896778,-120.504134
39,39.06522,-121.3519
39,38.07481,-122.23004
38,37.9775,-122.65749
38,37.85137,-120.45268
37,40.774,-122.309
36,37.65963,-120.34802
36,33.1683,-116.77342
35,33.74925,-117.10301
35,38.08055,-122.77846
35,33.99316,-117.48405
35,38.45822,-120.92162
35,35.37351,-118.84134
35,33.96419,-117.20507
34,34.21829,-117.40625
34,33.73547,-117.33364
34,40.03697,-123.64214
34,36.85596,-121.30983
33,33.763304,-117.314994
33,33.584036,-116.972036
33,35.60633,-118.4642
32,40.804,-123.375
32,40.79902,-123.39253
32,33.62613,-117.07975
32,35.90092,-120.93371
32,35.902149,-120.983684
31,36.5858,-121.80377
31,36.099681,-120.443545
31,35.60001,-118.4683
30,34.52055,-118.62882
30,40.27582,-123.64281
30,33.96896,-117.25411
29,38.77921,-120.46234
29,40.29118,-122.42606
28,39.8255,-121.7127
28,41.4844,-120.36659
28,41.93323,-124.19629
28,33.79925,-117.11659
27,41.64469,-120.31814
27,33.82165,-116.96079
26,39.03168,-121.40947
26,33.71025,-117.31924
26,33.94788,-116.59719
25,33.18716,-116.50897
25,35.76343,-121.04445
25,32.59252,-116.61609
25,40.71923,-122.02525
25,32.7789,-116.8516
25,37.02081,-119.95136
25,34.29931,-118.37539
25,32.679,-116.29296
23,33.50488,-117.02132
22,37.77982,-122.169
22,38.20176,-120.67848
22,38.68347,-122.2654
21,35.41112,-120.00353
21,39.01748,-122.49327
21,36.10858,-118.81979
21,39.364,-121.4143
21,36.35578,-120.99552
20,40.88516,-123.96844
20,38.51937,-123.24713
20,40.20077,-122.24731
20,37.65986,-120.31157
20,34.139,-117.199
20,39.13207,-123.10227
20,33.52584,-116.85226
20,37.86549,-122.2102
20,35.983,-119.91508
20,35.77082,-120.92482
19,33.88994,-116.91023
19,39.06414,-121.13737
19,33.797216,-117.124538
19,40.39799,-123.57562
19,37.81827,-120.65764
19,40.703775,-122.645079
19,35.71704,-118.30601
18,38.26294,-122.71998
18,39.53944,-121.54722
18,36.61332,-120.7109
18,36.1727,-120.86682
17,37.41231,-119.87465
17,40.92602,-121.5935
17,40.69259,-122.17384
17,35.556667,-120.474
17,36.2771,-120.94328
17,33.88466,-116.99229
16,35.188,-119.2877
16,34.04412,-116.55326
16,36.96642,-119.58292
15,39.87983,-122.5415
15,39.16826,-120.95498
15,41.45589,-120.56933
15,35.947,-120.87492
15,38.19906,-120.83484
15,33.56777,-116.08003
14,34.71796,-120.27077
14,34.605358,-120.414875
14,39.8629,-121.6268
14,35.80375,-120.52508
14,33.97155,-117.44148
13,37.89532,-120.84748
13,38.69775,-120.73757
13,38.67474,-121.06088
13,34.304722,-117.3125
12,39.44257,-121.60683
12,35.6879,-120.3317
12,33.7866,-117.5048
12,37.21812,-121.07761
11,38.70289,-122.90217
11,33.913089,-117.096233
10,40.24789,-122.255
10,37.76888,-120.15846
10,37.10067,-119.32109
10,38.34421,-120.72274
10,34.23925,-117.85182
10,39.36902,-120.97586
10,40.48972,-122.38619
10,33.77896,-117.24091
10,39.50475,-121.33785
10,33.91806,-116.99321
10,39.08382,-121.06656
10,33.90965,-116.9669
10,35.564124,-118.796513
10,33.87107,-116.88097
10,39.23205,-121.376
10,34.87128,-118.35296
10,33.94673,-117.17773
10,36.44141,-121.34695
0,38.36685,-122.64001
0,38.31802,-122.39052
0,37.73596,-119.78256
0,41.702,-123.508
0,41.338,-120.304
0,39.75425,-122.17657
0,40.6361,-120.9643
0,41.86609,-122.73031
0,33.43513,-117.58252
0,41.841,-123.474
0,36.51912,-119.50606
0,35.85253,-120.80411
0,39.51158,-121.55633
410203,39.243283,-123.103367
410203,39.243283,-123.103367
410203,39.243283,-123.103367
410203,39.243283,-123.103367
229651,40.65428,-122.62357
229651,40.65428,-122.62357
153336,39.8134,-121.4347
96949,34.235,-118.70128
96949,34.235,-118.70128
96901,37.6549,-119.88581
90288,38.80583,-122.18183
90288,38.80583,-122.18183
63311,40.9425,-122.43
63311,40.9425,-122.43
48920,39.04786,-123.11971
48920,39.04786,-123.11971
48920,39.04786,-123.11971
46150,40.896,-122.219
39387,41.38544,-121.04386
38008,41.893332,-122.534655
36450,38.349,-119.929
23136,33.69888,-117.52055
18703,40.633536,-120.868091
15185,39.0674,-122.59848
12300,38.052055,-120.945482
6974,38.347395,-119.45186
4564,37.39339,-120.34207
4531,34.22685,-118.93444
4064,37.571,-119.118
3889,40.22027778,-122.18
3716,40.35068,-121.77867
3674,41.07944,-123.688056
3380,34.48229,-118.60858
2995,35.97896,-119.98329
2956,39.94355,-122.3571
2950,35.37444,-118.83556
2883,36.6734,-118.21881
2490,38.69601,-122.44468
2290,39.64978,-122.58218
2225,35.847778,-120.343056
2162,38.431278,-122.043747
2100,41.29363,-120.11461
2070,37.40208,-118.50235
1900,40.99344,-121.52225
1756,36.85156,-120.77206
1751,40.616251,-123.52019
1678,40.50318,-122.42308
1500,38.21396,-121.9424
1500,35.73629,-120.75593
1352,34.5486,-118.31138
1350,34.095568,-116.958806
1314,36.40755,-120.99322
1265,36.71537,-118.08449
1261,33.62924,-117.05992
1200,39.186144,-121.792885
1120,39.268611,-120.658333
1014,35.11416667,-120.0922222
993,35.387408,-118.817934
972,39.82877,-123.08489
962,39.77124,-121.76859
856,40.33682,-121.93908
825,38.42623,-120.95408
822,38.59694444,-121.9938889
700,38.82426,-121.451307
668,35.79012,-118.7393
650,36.00912,-120.82226
646,40.3768,-120.36403
640,37.75646,-121.60646
573,37.83388,-120.61746
550,39.36529,-121.51707
513,36.378333,-120.901167
504,32.833674,-116.7311
484,37.75375,-121.57918
441,40.316137,-120.45053
400,36.35502,-121.1563
375,35.95515,-120.86256
367,35.51777778,-118.6525
365,33.07892,-116.91845
360,37.38789,-119.68912
347,39.59872,-121.78208
338,37.735461,-118.970443
328,40.52909,-122.17457
320,37.449425,-121.88807
316,38.539806,-121.059979
300,40.60402,-122.9144
300,37.10181,-119.623981
300,33.389425,-117.502405
290,38.061298,-120.872244
289,37.197039,-120.002619
282,33.836101,-117.607577
278,36.65351,-121.0454
268,37.94714,-121.9921
268,40.18395,-122.27574
265,32.63046,-116.46674
261,40.34256,-121.43025
260,35.33916,-120.71488
258,34.0232,-119.76576
250,33.076239,-116.902985
247,37.89612,-121.85847
224,41.70877,-122.47293
215,41.085,-123.051
215,36.37532,-120.862579
207,33.41476,-117.24044
205,33.571763,-116.500058
200,34.91482,-118.92485
200,37.33924,-120.24315
191,39.491737,-121.637759
186,34.26734825,-118.6438159
185,37.05876,-121.176354
175,37.97638,-122.5275
175,33.55132,-117.72044
172,34.576944,-119.61416
170,40.12791,-122.19792
167,36.18401,-120.69955
167,40.34822,-120.82497
166,34.2325,-117.846111
163,37.80785,-120.30187
160,38.45673,-121.94658
155,40.36888889,-122.8905556
155,33.787838,-117.746625
154,33.925862,-117.654299
152,38.02447,-122.727
150,34.30166667,-119.0991667
150,35.97677,-121.24898
150,38.94388,-120.92611
147,34.18075,-117.43184
136,38.08424,-120.46078
135,38.51943,-122.18353
128,34.38039,-118.60441
127,39.46543,-122.65582
127,41.65935,-122.48556
125,34.15475,-117.244366
120,36.47766,-119.10433
117,39.996944,-121.27
116,36.59036,-120.82355
116,37.06367,-121.53586
115,37.707234,-120.199162
114,35.56888889,-118.8013889
113,34.463889,-119.831389
110,34.62412,-120.22298
108,36.75581,-119.42172
106,38.8802,-123.0496
103,39.02017,-122.57496
103,40.31759,-122.21032
100,33.0971179,-117.0242529
100,36.21634,-118.82989
100,34.22526,-117.40967
100,35.56922,-120.12441
96,35.9352,-121.11936
95,35.1234,-118.72905
90,39.038859,-123.38493
89,40.94666,-121.27049
88,40.83116,-120.19336
88,37.179167,-119.431667
88,37.056944,-121.01638
80,39.06715,-122.59789
80,37.95766,-120.68902
77,34.54305556,-120.3180556
76,40.5939,-122.17173
76,36.696879,-119.304499
75,39.2976,-122.512012
75,39.65578,-122.58666
73,33.67815,-117.32281
70,37.22545,-121.79189
70,37.66074,-121.67144
70,40.394073,-122.135924
70,33.504964,-117.148204
68,37.08529,-121.09354
67,38.645,-120.874167
67,39.279833,-123.258319
66,38.82128,-121.03918
